num_activities,time_sort_by_start,time_sort_by_finish
10,0,1606000
20,0,2004000
30,1328000,957000
40,1022000,1794000
50,1220000,555000
60,0,4359000
70,1006000,2622000
80,879000,1760000
90,1005000,1489000
100,0,3338000
110,999000,2003000
120,524000,0
130,0,6243000
140,1000000,2333000
150,620000,2508000
160,1008000,2752000
170,1076000,3002000
180,0,0
190,4771000,2913000
200,1074000,4777000
210,557000,3946000
220,998000,2717000
230,3124000,4658000
240,0,5826000
250,1005000,4670000
260,953000,4772000
270,1001000,1861000
280,0,9994000
290,0,6078000
300,1038000,3251000
310,0,7312000
320,999000,5106000
330,1732000,5139000
340,510000,6012000
350,479000,5336000
360,1777000,5176000
370,1980000,5442000
380,1686000,6920000
390,1031000,5467000
400,0,8804000
410,0,7376000
420,1377000,6662000
430,1001000,8772000
440,1055000,6489000
450,1186000,6136000
460,1032000,4871000
470,3050000,5943000
480,0,8672000
490,0,8911000
500,0,8260000
510,0,7731000
520,0,8430000
530,998000,7090000
540,999000,3839000
550,3973000,7392000
560,1004000,8340000
570,999000,7289000
580,1005000,3406000
590,0,11973000
600,1000000,8217000
610,1061000,8647000
620,1006000,3661000
630,4898000,8005000
640,313000,6754000
650,0,9656000
660,0,10406000
670,1237000,6930000
680,1948000,4768000
690,0,27996000
700,3027000,23065000
710,2344000,13647000
720,1005000,10792000
730,0,17140000
740,0,9021000
750,1002000,8718000
760,0,8201000
770,1000000,8572000
780,1007000,7433000
790,0,8975000
800,0,9767000
810,461000,5939000
820,4044000,4727000
830,0,11201000
840,0,8902000
850,1000000,7635000
860,0,9737000
870,1410000,7564000
880,999000,7667000
890,0,9974000
900,0,7993000
910,328000,6805000
920,0,8962000
930,0,9963000
940,999000,7551000
950,0,10439000
960,0,9776000
970,1256000,7960000
980,1753000,5139000
990,4162000,4522000
1000,5390000,4759000
